d,f,n,Vc,Mz,Fz,,,,,,
4,0.06,450,5.65,1.0408,254.15,0.017367284,2.405090114,0.602059991,-1.22184875,2.653212514,0.752422378
4,0.06,500,6.28,1.01563,255.798,0.006735521,2.407897145,0.602059991,-1.22184875,2.698970004,0.798179868
4,0.06,550,6.91,1.0405,255.341,0.017242085,2.407120555,0.602059991,-1.22184875,2.740362689,0.839572554
4,0.06,600,7.54,1.25092,251.282,0.097229536,2.40016138,0.602059991,-1.22184875,2.77815125,0.877361114
4,0.07,450,5.65,1.55029,281.891,0.190412946,2.45008121,0.602059991,-1.15490196,2.653212514,0.752422378
4,0.07,500,6.28,1.5213,285.065,0.182214865,2.454943898,0.602059991,-1.15490196,2.698970004,0.798179868
4,0.07,550,6.91,1.57265,279.633,0.196632079,2.446588422,0.602059991,-1.15490196,2.740362689,0.839572554
4,0.07,600,7.54,1.81076,282.837,0.257860892,2.451536222,0.602059991,-1.15490196,2.77815125,0.877361114
4,0.08,450,5.65,2.81738,308.868,0.449845427,2.489772916,0.602059991,-1.096910013,2.653212514,0.752422378
4,0.08,500,6.28,2.07504,314.331,0.317026473,2.497387214,0.602059991,-1.096910013,2.698970004,0.798179868
4,0.08,550,6.91,1.72928,311.584,0.237865319,2.493575148,0.602059991,-1.096910013,2.740362689,0.839572554
4,0.08,600,7.54,1.55159,299.927,0.190776972,2.477015564,0.602059991,-1.096910013,2.77815125,0.877361114
4,0.09,450,5.65,1.56265,329.376,0.193861716,2.517691951,0.602059991,-1.045757491,2.653212514,0.752422378
4,0.09,500,6.28,1.2838,327.057,0.108497371,2.514623449,0.602059991,-1.045757491,2.698970004,0.798179868
4,0.09,550,6.91,0.952988,285.553,-0.020912568,2.455686727,0.602059991,-1.045757491,2.740362689,0.839572554
4,0.09,600,7.54,0.812683,293.457,-0.090078825,2.467544473,0.602059991,-1.045757491,2.77815125,0.877361114
4,0.1,450,5.65,0.857849,318.939,-0.066589151,2.503707628,0.602059991,-1,2.653212514,0.752422378
4,0.1,500,6.28,1.06972,318.848,0.029270116,2.503583697,0.602059991,-1,2.698970004,0.798179868
4,0.1,550,6.91,1.03844,317.23,0.016381409,2.501374251,0.602059991,-1,2.740362689,0.839572554
4,0.1,600,7.54,1.19827,327.82,0.078554686,2.515635446,0.602059991,-1,2.77815125,0.877361114
6,0.06,500,9.42,6.76125,363.159,0.830026994,2.560096812,0.77815125,-1.22184875,2.698970004,0.974271127
6,0.06,550,10.37,6.37962,367.34,0.804794811,2.565068222,0.77815125,-1.22184875,2.740362689,1.015663813
6,0.06,600,11.31,6.48857,359.863,0.812148994,2.556137196,0.77815125,-1.22184875,2.77815125,1.053452373
