d,f,n,Vc,Mz,Fz,logM,logFz,logd,logf,logVc
4,0.06 ,450,5.65 ,0.326571801,243.4970251,-0.486021319,2.38649366,0.602059991,-1.22184875,0.752422378
4,0.06 ,500,6.28 ,0.354395685,244.7107062,-0.450511574,2.38865297,0.602059991,-1.22184875,0.798179868
4,0.06 ,550,6.91 ,0.355930612,244.6057161,-0.448634659,2.388466602,0.602059991,-1.22184875,0.839572554
4,0.06 ,600,7.54 ,0.317262819,240.7935866,-0.498580821,2.381644916,0.602059991,-1.22184875,0.877361114
4,0.07 ,450,5.65 ,0.449350861,270.2753277,-0.347414421,2.431806403,0.602059991,-1.15490196,0.752422378
4,0.07 ,500,6.28 ,0.398579147,272.5285156,-0.399485427,2.435411951,0.602059991,-1.15490196,0.798179868
4,0.07 ,550,6.91 ,0.447602603,269.1864614,-0.349107396,2.430053213,0.602059991,-1.15490196,0.839572554
4,0.07 ,600,7.54 ,0.464851494,268.9506134,-0.332685769,2.429672539,0.602059991,-1.15490196,0.877361114
4,0.08 ,450,5.65 ,0.536871283,294.6155085,-0.270129826,2.469255604,0.602059991,-1.096910013,0.752422378
4,0.08 ,500,6.28 ,0.388412789,300.7071931,-0.410706479,2.478143817,0.602059991,-1.096910013,0.798179868
4,0.08 ,550,6.91 ,0.39492173,297.4956377,-0.403488969,2.473480602,0.602059991,-1.096910013,0.839572554
4,0.08 ,600,7.54 ,0.413868836,291.0739378,-0.383137275,2.464003321,0.602059991,-1.096910013,0.877361114
4,0.09 ,450,5.65 ,0.437943919,316.6596928,-0.358581499,2.500592786,0.602059991,-1.045757491,0.752422378
4,0.09 ,500,6.28 ,0.453550237,316.668943,-0.343374602,2.500605472,0.602059991,-1.045757491,0.798179868
4,0.09 ,550,6.91 ,0.485949774,277.7668643,-0.313408616,2.443680436,0.602059991,-1.045757491,0.839572554
4,0.09 ,600,7.54 ,0.47430346,282.8155669,-0.323943707,2.45150331,0.602059991,-1.045757491,0.877361114
4,0.10 ,450,5.65 ,0.52003425,308.0461291,-0.283968053,2.488615756,0.602059991,-1,0.752422378
